2025-09-28T23:55:04,830 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:com.google.guava/failureaccess/1.0.1
2025-09-28T23:55:04,830 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:mvn:net.java.dev.jna/jna/4.4.0
2025-09-28T23:55:04,830 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2025-09-28T23:55:04,831 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.8
2025-09-28T23:55:04,831 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.2.0
2025-09-28T23:55:04,831 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.aries/org.apache.aries.util/1.1.3
2025-09-28T23:55:04,832 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.felix/org.apache.felix.scr/2.2.4
2025-09-28T23:55:04,832 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.4.3
2025-09-28T23:55:04,832 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.4.3
2025-09-28T23:55:04,832 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.4.3
2025-09-28T23:55:04,833 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.4.3
2025-09-28T23:55:04,833 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.4.3
2025-09-28T23:55:04,833 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf/org.apache.karaf.event/4.4.3
2025-09-28T23:55:04,833 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.4.3
2025-09-28T23:55:04,834 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.4.3
2025-09-28T23:55:04,834 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.4.3
2025-09-28T23:55:04,834 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.4.3
2025-09-28T23:55:04,835 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.4.3
2025-09-28T23:55:04,835 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.kar/org.apache.karaf.kar.core/4.4.3
2025-09-28T23:55:04,835 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.4.3
2025-09-28T23:55:04,835 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.4.3
2025-09-28T23:55:04,836 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.4.3
2025-09-28T23:55:04,836 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.scr/org.apache.karaf.scr.management/4.4.3
2025-09-28T23:55:04,836 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.scr/org.apache.karaf.scr.state/4.4.3
2025-09-28T23:55:04,836 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.4.3
2025-09-28T23:55:04,837 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.4.3
2025-09-28T23:55:04,837 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.4.3
2025-09-28T23:55:04,837 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.4.3
2025-09-28T23:55:04,837 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.system/org.apache.karaf.system.core/4.4.3
